id,code,name,dangerous
l10n_mx_wbl_products_services_10202111,10202111,Rosal vivo cartagena,0
l10n_mx_wbl_products_services_10202112,10202112,Rosal vivo chanson,0
l10n_mx_wbl_products_services_10202113,10202113,Rosal vivo charmer,0
l10n_mx_wbl_products_services_10202114,10202114,Rosal vivo cherry brandy,0
l10n_mx_wbl_products_services_10202115,10202115,Rosal vivo chilis,0
l10n_mx_wbl_products_services_10202116,10202116,Rosal vivo cinnamon,0
l10n_mx_wbl_products_services_10202117,10202117,Rosal vivo colandro,0
l10n_mx_wbl_products_services_10202118,10202118,Rosal vivo coral sea,0
l10n_mx_wbl_products_services_10202119,10202119,Rosal vivo corvette o red corvette,0
l10n_mx_wbl_products_services_10202120,10202120,Rosal vivo dark milva,0
l10n_mx_wbl_products_services_10202121,10202121,Rosal vivo donna,0
l10n_mx_wbl_products_services_10202122,10202122,Rosal vivo dreamer,0
l10n_mx_wbl_products_services_10202123,10202123,Rosal vivo el dorado,0
l10n_mx_wbl_products_services_10202124,10202124,Rosal vivo el toro,0
l10n_mx_wbl_products_services_10202125,10202125,Rosal vivo elena,0
l10n_mx_wbl_products_services_10202126,10202126,Rosal vivo ensueño,0
l10n_mx_wbl_products_services_10202127,10202127,Rosal vivo euforia,0
l10n_mx_wbl_products_services_10202128,10202128,Rosal vivo exótica,0
l10n_mx_wbl_products_services_10202129,10202129,Rosal vivo fancy amazon,0
l10n_mx_wbl_products_services_10202130,10202130,Rosal vivo fiction,0
l10n_mx_wbl_products_services_10202131,10202131,Rosal vivo finess,0
l10n_mx_wbl_products_services_10202132,10202132,Rosal vivo flameco,0
l10n_mx_wbl_products_services_10202133,10202133,Rosal vivo free spirit,0
l10n_mx_wbl_products_services_10202134,10202134,Rosal vivo gelato,0
l10n_mx_wbl_products_services_10202135,10202135,Rosal vivo gypsy curiosa,0
l10n_mx_wbl_products_services_10202136,10202136,Rosal vivo high and magic,0
l10n_mx_wbl_products_services_10202137,10202137,Rosal vivo high and orange magic,0
l10n_mx_wbl_products_services_10202138,10202138,Rosal vivo iguana o alegra,0
l10n_mx_wbl_products_services_10202139,10202139,Rosal vivo impulse,0
l10n_mx_wbl_products_services_10202140,10202140,Rosal vivo indian femma,0
l10n_mx_wbl_products_services_10202141,10202141,Rosal vivo indian sunset,0
l10n_mx_wbl_products_services_10202142,10202142,Rosal vivo karusso,0
l10n_mx_wbl_products_services_10202143,10202143,Rosal vivo kerio,0
l10n_mx_wbl_products_services_10202144,10202144,Rosal vivo kiki,0
l10n_mx_wbl_products_services_10202145,10202145,Rosal vivo latin circus,0
l10n_mx_wbl_products_services_10202146,10202146,Rosal vivo leonisa,0
l10n_mx_wbl_products_services_10202147,10202147,Rosal vivo lipstick,0
l10n_mx_wbl_products_services_10202148,10202148,Rosal vivo lobita,0
l10n_mx_wbl_products_services_10202149,10202149,Rosal vivo luca,0
l10n_mx_wbl_products_services_10202150,10202150,Rosal vivo manitou,0
l10n_mx_wbl_products_services_10202151,10202151,Rosal vivo mariana,0
l10n_mx_wbl_products_services_10202152,10202152,Rosal vivo marjan o pk sensation,0
l10n_mx_wbl_products_services_10202153,10202153,Rosal vivo milonga,0
l10n_mx_wbl_products_services_10202154,10202154,Rosal vivo milva,0
l10n_mx_wbl_products_services_10202155,10202155,Rosal vivo miracle,0
l10n_mx_wbl_products_services_10202156,10202156,Rosal vivo mirage,0
l10n_mx_wbl_products_services_10202157,10202157,Rosal vivo monte carlo,0
l10n_mx_wbl_products_services_10202158,10202158,Rosal vivo movie star,0
l10n_mx_wbl_products_services_10202159,10202159,Rosal vivo nikita,0
l10n_mx_wbl_products_services_10202160,10202160,Rosal vivo orange flame,0
l10n_mx_wbl_products_services_10202161,10202161,Rosal vivo orange france,0
l10n_mx_wbl_products_services_10202162,10202162,Rosal vivo orange intuition,0
l10n_mx_wbl_products_services_10202163,10202163,Rosal vivo orange unique,0
l10n_mx_wbl_products_services_10202164,10202164,Rosal vivo orangine u orangina,0
l10n_mx_wbl_products_services_10202165,10202165,Rosal vivo papaya,0
l10n_mx_wbl_products_services_10202166,10202166,Rosal vivo pareo,0
l10n_mx_wbl_products_services_10202167,10202167,Rosal vivo peach sherbet,0
l10n_mx_wbl_products_services_10202168,10202168,Rosal vivo queensday,0
l10n_mx_wbl_products_services_10202169,10202169,Rosal vivo rosselle,0
l10n_mx_wbl_products_services_10202170,10202170,Rosal vivo royal circus,0
l10n_mx_wbl_products_services_10202171,10202171,Rosal vivo sari,0
l10n_mx_wbl_products_services_10202172,10202172,Rosal vivo sensual,0
l10n_mx_wbl_products_services_10202173,10202173,Rosal vivo soap,0
l10n_mx_wbl_products_services_10202174,10202174,Rosal vivo sombrero,0
l10n_mx_wbl_products_services_10202175,10202175,Rosal vivo spicy,0
l10n_mx_wbl_products_services_10202176,10202176,Rosal vivo star 2000,0
l10n_mx_wbl_products_services_10202177,10202177,Rosal vivo summer versilia,0
l10n_mx_wbl_products_services_10202178,10202178,Rosal vivo trixx,0
l10n_mx_wbl_products_services_10202179,10202179,Rosal vivo tropical amazon,0
l10n_mx_wbl_products_services_10202180,10202180,Rosal vivo utopia,0
l10n_mx_wbl_products_services_10202181,10202181,Rosal vivo valentine,0
