id,code,name,country_id,transport_id/id
l10n_mx_wbl_stationsEF059,EF059,Placa KM. A-592,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF060,EF060,Chicalote,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF061,EF061,Garabato,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF062,EF062,Pabellón,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF063,EF063,Rincón de Romos,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF064,EF064,Punta,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF065,EF065,Adames,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF066,EF066,Berriozábal,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF067,EF067,Tlacotes,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF068,EF068,Palmira,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF069,EF069,Trancoso,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF070,EF070,San Gerónimo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF071,EF071,Rafael S. Martinez,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF072,EF072,Zacatecas,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF073,EF073,El Brillo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF074,EF074,Pimienta,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF075,EF075,Morelos,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF076,EF076,Victor Rosales,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF077,EF077,Ojuelos,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF078,EF078,Fresnillo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF079,EF079,Mendoza,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF080,EF080,Gutiérrez,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF081,EF081,Mezquite,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF082,EF082,El Saucillo,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF083,EF083,Felipe Pescador,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF084,EF084,Cedro,MX,l10n_mx_wbl_transport_04
