id,code,name,description,flag
l10n_mx_wbl_unit_weight_XFC,XFC,Cajón para fruta,,Packaging
l10n_mx_wbl_unit_weight_XFD,XFD,Cajón enmarcado,,Packaging
l10n_mx_wbl_unit_weight_XFE,XFE,Tanque flexible,"Contenedor flexible de plástico, usado típicamente para el transporte de cargas no peligrosas a granel usando contenedores de transporte de tamaño estándar.",Packaging
l10n_mx_wbl_unit_weight_XFI,XFI,Firkin,Barril de 41 litros,Packaging
l10n_mx_wbl_unit_weight_XFL,XFL,Matraz,,Packaging
l10n_mx_wbl_unit_weight_XFO,XFO,Cajón para zapatos,,Packaging
l10n_mx_wbl_unit_weight_XFP,XFP,Caja auxiliar para película fotográfica,,Packaging
l10n_mx_wbl_unit_weight_XFR,XFR,Marco,,Packaging
l10n_mx_wbl_unit_weight_XFT,XFT,Contenedor para alimentos,,Packaging
l10n_mx_wbl_unit_weight_XFW,XFW,Carro de cama plana,Módulo con ruedas en el que las bandejas u otros artículos de forma regular se empacan para fines de transporte.,Packaging
l10n_mx_wbl_unit_weight_XFX,XFX,Bolsa flexible tipo contenedor,,Packaging
l10n_mx_wbl_unit_weight_XGB,XGB,Botella para gas,Cilindro metálico de cuello estrecho para la retención de gas licuado o comprimido.,Packaging
l10n_mx_wbl_unit_weight_XGI,XGI,Viga,,Packaging
l10n_mx_wbl_unit_weight_XGL,XGL,Contenedor tipo galón,Contenedor con una capacidad de un galón.,Packaging
l10n_mx_wbl_unit_weight_XGR,XGR,Recipiente de vidrio,Recipiente de contención de vidrio para retener sustancias o artículos.,Packaging
l10n_mx_wbl_unit_weight_XGU,XGU,Bandeja contenedor para apilar horizontalmente objetos planos,Bandeja para contiene objetos planos apilados uno encima del otro.,Packaging
l10n_mx_wbl_unit_weight_XGY,XGY,Costal de Yute,"Hecho de yute, usado para transportar mercancías gruesas, tales como granos, patatas, y otros productos agrícolas.",Packaging
l10n_mx_wbl_unit_weight_XGZ,XGZ,Vigas con correas o agrupadas,,Packaging
l10n_mx_wbl_unit_weight_XHA,XHA,Cesta con mango y de plástico,,Packaging
l10n_mx_wbl_unit_weight_XHB,XHB,Cesta con mango y de madera,,Packaging
l10n_mx_wbl_unit_weight_XHC,XHC,Cesta  con asa y de  cartón,,Packaging
l10n_mx_wbl_unit_weight_XHG,XHG,Hogshead,Barril de 1/4 de tonel,Packaging
l10n_mx_wbl_unit_weight_XHN,XHN,Gancho,"Artefacto, cuya forma con un gancho en la parte superior, tiene el propósito de colgar artículos de un carril.",Packaging
l10n_mx_wbl_unit_weight_XHR,XHR,Cesto,,Packaging
l10n_mx_wbl_unit_weight_XIA,XIA,Paquete con pantalla y de madera,,Packaging
l10n_mx_wbl_unit_weight_XIB,XIB,Paquete  con pantalla y de cartón,,Packaging
l10n_mx_wbl_unit_weight_XIC,XIC,Paquete con pantalla y de plástico,,Packaging
l10n_mx_wbl_unit_weight_XID,XID,Paquete con pantalla y de metal,,Packaging
l10n_mx_wbl_unit_weight_XIE,XIE,Paquete de mostrador.,,Packaging
l10n_mx_wbl_unit_weight_XIF,XIF,Envase para alimentos,"Envase flexible tubular o de piel, posiblemente transparente, a menudo utilizado para contener alimentos (por ejemplo salami).",Packaging
l10n_mx_wbl_unit_weight_XIG,XIG,Paquete envuelto en papel,,Packaging
l10n_mx_wbl_unit_weight_XIH,XIH,Tambor de plástico,,Packaging
l10n_mx_wbl_unit_weight_XIK,XIK,Paquete de cartón con los agujeros para botellas,Material de empaque realizado en cartón que facilita la separación de botellas individuales de vidrio o plástico.,Packaging
l10n_mx_wbl_unit_weight_XIL,XIL,Bandeja rígida con tapa y apilable (CEN TS 14482: 2002),Bandeja rígida apilable empotrada compatible con CEN TS 14482: 2002.,Packaging
l10n_mx_wbl_unit_weight_XIN,XIN,Lingote,,Packaging
l10n_mx_wbl_unit_weight_XIZ,XIZ,Lingotes  con correas/ agrupados,,Packaging
l10n_mx_wbl_unit_weight_XJB,XJB,Bolsa jumbo,"Bolsa de contención flexible, ampliamente utilizada para almacenamiento, transporte y manipulación de materiales en polvo, escamas o granulares. Típicamente construido a partir de tejido de polipropileno (PP) tejido en forma de bolsas cúbicas.",Packaging
l10n_mx_wbl_unit_weight_XJC,XJC,Bidón rectangular,,Packaging
l10n_mx_wbl_unit_weight_XJG,XJG,Jarra,,Packaging
l10n_mx_wbl_unit_weight_XJR,XJR,Tarro,,Packaging
l10n_mx_wbl_unit_weight_XJT,XJT,Bolsa de yute,,Packaging
l10n_mx_wbl_unit_weight_XJY,XJY,"Bidón, cilíndrico",,Packaging
l10n_mx_wbl_unit_weight_XKG,XKG,Barrilete,,Packaging
l10n_mx_wbl_unit_weight_XKI,XKI,Kit (Conjunto de piezas),Conjunto de artículos o implementos utilizados para un propósito específico.,Packaging
l10n_mx_wbl_unit_weight_XLE,XLE,Valijas,"Colección de bolsas, cajas y / o contenedores que contienen objetos personales para un viaje.",Packaging
